ordernumber;name;tax;price_EK;active;shippingtime;shippingfree;topseller;keywords;categories
85636;Handgemacht: Stricken, Häkeln & Nähen;7;2,95;1;2-3;0;0;Stricken, Häkeln, Nähen, Handarbeit, Nordkurier, Handgemacht, Selfmade;43
85640;Handgemacht 2: Stricken, Häkeln, Nähen und Basteln nach Lesertipps;7;2,95;1;2-3;0;0;Stricken, Häkeln, Nähen, Basteln, Lesertipps, Nordkurier, handmade, handgemacht;43
86657;Usedom Magazin 2020;7;4,9;1;2-3;0;0;;55
3;Usedom Aktuell;7;1,5;1;2-3;0;0;;55
85647;Touren Nr. 1 - Durch MV und die Uckermark;7;2,95;1;2-3;0;0;;55
85655;Touren Nr. 2 - Durch MV und die Uckermark;7;2,95;1;2-3;0;0;;55
85621;Rezepte Nr. 12: Kinderleichte Küche;7;2,9;1;2-3;0;0;;54
85623;Rezepte Nr. 13: Nachtischzeit;7;2,9;1;2-3;0;0;;54
85624;Rezepte Nr. 14: Nudelzeit;7;2,9;1;2-3;0;0;;54
85625;Rezepte Nr. 15: Kartoffelzeit;7;2,9;1;2-3;0;0;;54
85626;Rezepte Nr. 16: Schätze aus Omas Backstube;7;2,9;1;2-3;0;0;;54
85627;Rezepte Nr. 17: Schätze aus Omas Töpfen und Pfannen;7;2,9;1;2-3;0;0;;54
85628;Rezepte Nr. 18: Erdbeerzeit;7;2,9;1;2-3;0;0;;54
85629;Rezepte Nr. 19: Schätze aus Omas Weihnachtsbäckerei;7;2,9;1;2-3;0;0;Rezepte, Plätzchen, Backen, Oma, Weihnachten, Kekse;17
85630;Rezepte Nr. 20: Leckere Vorratsküche;7;2,9;1;2-3;0;0;;54
85631;Rezepte Nr. 21: Feste feiern;7;2,9;1;2-3;0;0;;54
85633;Rezepte Nr. 22: Schnell, leicht & lecker;7;2,9;1;2-3;0;0;;54
85635;Rezepte Nr. 23: Jetzt wird's Wild;7;2,9;1;2-3;0;0;Rezepte, Kochen, Nordkurier, Wild, Wildgerichte;17
